wordpiece,tokenized by seBERT
northeastern,north ##ea ##ster ##n
mia,mi ##a
crops,crop ##s
violet,viol ##et
threats,threat ##s
blanket,blank ##et
canton,cant ##on
southwestern,south ##west ##ern
voyage,voy ##age
moderate,moder ##ate
pistol,pist ##ol
questioned,question ##ed
brass,bra ##ss
1852,185 ##2
1851,185 ##1
pronounced,pron ##ounce ##d
uncomfortable,uncom ##fort ##able
presidency,pres ##ide ##nc ##y
stevens,steven ##s
politicians,polit ##ician ##s
quinn,qu ##inn
diana,dia ##na
mosque,mosqu ##e
tribal,trib ##al
cheese,che ##ese
palmer,palm ##er
chester,chest ##er
treasure,tre ##asure
bend,ben ##d
reforms,reform ##s
ate,at ##e
invented,invent ##ed
eaten,eat ##en
exterior,ext ##eri ##or
sally,sal ##ly
vermont,ver ##mont
isle,is ##le
breed,bree ##d
journalists,journal ##ists
speaks,speak ##s
midfielder,mid ##field ##er
blond,blo ##nd
servants,serv ##ants
malcolm,mal ##col ##m
essex,ess ##ex
henri,hen ##ri
slavery,slave ##ry
fairy,fair ##y
coached,co ##ached
cassie,cass ##ie
washed,was ##hed
2000s,2000 ##s
vinyl,viny ##l
frontier,front ##ier
growled,growl ##ed
loyal,lo ##yal
leslie,les ##lie
ritual,rit ##ual
kenny,kenn ##y
vii,vi ##i
napoleon,nap ##ole ##on
hollow,hol ##low
jungle,jun ##gle
stationed,station ##ed
friedrich,fri ##ed ##rich
platinum,plat ##inum
theatrical,the ##at ##rical
seated,seat ##ed
glen,gle ##n
1840,184 ##0
diversity,diver ##si ##ty
provisions,provision ##s
columbus,col ##umb ##us
tributary,trib ##uta ##ry
assured,assure ##d
prestigious,prest ##igi ##ous
examined,examine ##d
lectures,lecture ##s
grammy,gram ##my
ronald,ron ##ald
bailey,bail ##ey
allan,all ##an
essays,ess ##ays
flute,flu ##te
believing,belie ##ving
consultant,consult ##ant
proceedings,proceeding ##s
travelling,travel ##ling
1853,185 ##3
kerala,ker ##ala
yugoslavia,yu ##gos ##lav ##ia
methodist,method ##ist
burial,bur ##ial
centres,centre ##s
batman,bat ##man
discontinued,discontin ##ued
stockholm,stock ##hol ##m
lungs,lun ##gs
severely,severe ##ly
citing,cit ##ing
manga,mang ##a
mumbai,mum ##ba ##i
iraqi,ir ##aq ##i
celebrity,celebr ##ity
bride,brid ##e
broadcasts,broadcast ##s
abolished,ab ##oli ##she ##d
franz,fran ##z
reconnaissance,recon ##na ##issa ##nc ##e
johann,johan ##n
acknowledged,acknowledge ##d
doctorate,doctor ##ate
developments,development ##s
drinks,drink ##s
alley,alle ##y
palestine,pal ##est ##ine
proceeded,proceed ##ed
bradley,brad ##ley
infection,inf ##ection
nationalist,national ##ist
legendary,legend ##ary
powell,pow ##ell
elbow,elb ##ow
screenplay,screen ##play
indonesian,ind ##ones ##ian
kylie,ky ##lie
discipline,disci ##pline
manila,man ##ila
hunger,hung ##er
fever,fe ##ver
monica,mon ##ica
appeals,appe ##als
grande,grand ##e
reid,re ##id
beliefs,belie ##fs
congo,con ##go
casey,case ##y
1849,184 ##9
regret,regr ##et
streak,stre ##ak
rape,rap ##e
syrian,sy ##rian
pound,po ##und
tourists,tour ##ists
tense,tens ##e
practiced,practice ##d
nationwide,nation ##wide
motorcycle,motor ##cycle
chiefs,chi ##efs
elena,ele ##na
precious,prec ##ious
absorbed,abs ##orb ##ed
relatives,relative ##s
booth,boot ##h
pianist,pi ##ani ##st
citizenship,citizens ##hip
wilhelm,wil ##hel ##m
quarterback,quarter ##back
urge,urg ##e
hectares,he ##ct ##ares
holly,hol ##ly
blonde,blo ##nd ##e
davies,dav ##ies
parked,park ##ed
sustainable,sustain ##able
twentieth,twe ##nt ##iet ##h
airfield,air ##field
shaft,sha ##ft
paradise,parad ##ise
tobacco,to ##ba ##cc ##o
renewed,renew ##ed
vietnamese,viet ##names ##e
holmes,hol ##mes
enjoying,enjoy ##ing
colt,col ##t
butterfly,butter ##fly
nerve,nerv ##e
reformed,reform ##ed
bowling,bow ##ling
trailer,trail ##er
goodbye,good ##bye
collar,coll ##ar
shorts,short ##s
superintendent,super ##inte ##nd ##ent
episcopal,epis ##cop ##al
giovanni,gio ##van ##ni
nineteenth,nine ##tee ##nt ##h
privately,private ##ly
circulation,circ ##ulation
armstrong,arms ##tr ##ong
discrimination,discrimin ##ation
aires,air ##es
retiring,ret ##iring
cottage,cot ##tag ##e
ellen,ell ##en
jamaica,jam ##ai ##ca
ripped,ripp ##ed
playstation,plays ##ta ##tion
lecturer,lecture ##r
georgian,georgi ##an
solomon,solo ##mon
rivals,ri ##val ##s
seventeen,seven ##tee ##n
rodriguez,rodrig ##uez
princeton,prin ##cet ##on
sox,so ##x
1847,184 ##7
arguing,argu ##ing
hank,han ##k
oakland,oak ##land
milwaukee,mil ##wa ##uke ##e
conquest,con ##quest
dubbed,dub ##bed
brunswick,br ##uns ##wi ##ck
arched,arch ##ed
curtis,cur ##ti ##s
divorced,div ##orce ##d
predominantly,pred ##omi ##nan ##tl ##y
somerset,some ##rs ##et
curved,curve ##d
buenos,bu ##eno ##s
fierce,fi ##erce
theological,the ##olo ##gi ##cal
punjab,pun ##ja ##b
altar,alt ##ar
pastor,past ##or
thighs,thi ##gh ##s
abruptly,ab ##rupt ##ly
associates,associate ##s
collegiate,colle ##gi ##ate
quarterfinals,quarter ##final ##s
oval,ov ##al
1846,184 ##6
martha,mart ##ha
victories,victor ##ies
sharply,sharp ##ly
argues,argue ##s
deadly,dead ##ly
drawings,drawing ##s
performer,perform ##er
griffin,gri ##ffin
andrews,andrew ##s
journals,journal ##s
arabia,arab ##ia
compositions,composition ##s
pierce,pier ##ce
hindi,hind ##i
casino,cas ##ino
runway,run ##way
civilians,civil ##ians
minds,mind ##s
refuge,ref ##uge
conferences,conference ##s
suburban,sub ##urb ##an
conducting,conduct ##ing
descended,descend ##ed
massacre,mass ##ac ##re
ammunition,am ##mu ##ni ##tion
souls,soul ##s
chelsea,che ##ls ##ea
durham,dur ##ham
perth,pert ##h
palestinian,pal ##est ##ini ##an
simpson,sim ##pson
betty,bet ##ty
cardinals,card ##inal ##s
extraordinary,extra ##ord ##inary
inscription,ins ##cription
chloe,ch ##lo ##e
ashley,ash ##ley
trucks,truck ##s
sunlight,sun ##light
strikes,strike ##s
tucked,tu ##ck ##ed
closet,close ##t
clinic,clin ##ic
venues,venue ##s
spreading,spread ##ing
trustees,trust ##ees
trumpet,tru ##mp ##et
hesitated,hesitate ##d
topped,top ##pe ##d
brussels,br ##uss ##els
wash,was ##h
peaceful,peace ##ful
allegedly,alle ##ged ##ly
mcdonald,mc ##don ##ald
investors,invest ##ors
witnesses,witness ##es
sounding,sound ##ing
miranda,mira ##nd ##a
michelle,michel ##le
lynn,lyn ##n
glared,gl ##ared
nina,nin ##a
headquartered,head ##qu ##arter ##ed
diving,div ##ing
boarding,board ##ing
gibson,gib ##son
albanian,alb ##ania ##n
substance,subst ##ance
enlisted,en ##list ##ed
discovers,discover ##s
pissed,pi ##ss ##ed
smoking,smo ##king
rebecca,reb ##ecc ##a
capitol,cap ##ito ##l
visa,vis ##a
varied,vari ##ed
costume,cost ##ume
indies,ind ##ies
compensation,compens ##ation
surgeon,surge ##on
arsenal,ar ##sen ##al
westminster,west ##min ##ster
suburbs,sub ##urb ##s
anglican,ang ##lic ##an
knots,kn ##ots
foods,food ##s
alumni,al ##umn ##i
fraser,fra ##ser
scandal,scan ##dal
gavin,gav ##in
flooding,flood ##ing
terrorist,ter ##ror ##ist
teenage,tee ##nag ##e
senses,sense ##s
teen,tee ##n
abby,ab ##by
newport,new ##port
glenn,gle ##nn
rises,rise ##s
bomber,bomb ##er
protective,protect ##ive
cartoon,carto ##on
katherine,kath ##eri ##ne
lonely,lone ##ly
henderson,hen ##ders ##on
richardson,richard ##son
candy,can ##dy
palms,palm ##s
remarkable,remark ##able
cricketer,cri ##cket ##er
essay,ess ##ay
ordained,ord ##ain ##ed
edmund,edm ##und
rifles,ri ##fl ##es
1830,183 ##0
audiences,audience ##s
penn,pen ##n
sussex,sus ##sex
pursued,purs ##ued
indianapolis,india ##nap ##oli ##s
rosa,ros ##a
1845,184 ##5
inland,inl ##and
counsel,coun ##sel
chronicle,chron ##icle
hurried,hur ##ried
eyebrow,eye ##brow
innovative,innov ##ative
cure,cur ##e
committees,committee ##s
hardy,hard ##y
heather,heat ##her
tenor,ten ##or
herald,her ##ald
tore,tor ##e
wagon,wag ##on
luxury,lux ##ury
fountain,fou ##nt ##ain
bonds,bond ##s
darling,dar ##ling
convoy,conv ##oy
dried,dri ##ed
beings,being ##s
troy,tro ##y
smelled,smell ##ed
joey,joe ##y
lawyers,law ##yer ##s
steep,ste ##ep
bosnia,bos ##ni ##a
brook,bro ##ok
performers,perform ##ers
philosophical,philoso ##phi ##cal
shrine,shr ##ine
cox,co ##x
phenomenon,phen ##omen ##on
savage,sav ##age
reynolds,re ##yn ##old ##s
lifestyle,life ##style
nationally,national ##ly
holdings,holding ##s
edgar,ed ##gar
mama,mam ##a
fights,fight ##s
relegation,rele ##ga ##tion
finale,final ##e
underwent,under ##wen ##t
steering,ste ##ering
gifts,gift ##s
comprising,compr ##ising
melissa,mel ##issa
veins,ve ##ins
sunshine,sun ##shin ##e
trails,trail ##s
inhabited,in ##hab ##ited
ethics,eth ##ics
molly,mol ##ly
apartments,apart ##ments
marines,mari ##nes
hunters,hunter ##s
hometown,home ##to ##wn
cracked,crack ##ed
neighbouring,neighbour ##ing
withdrawn,withdraw ##n
wingspan,wing ##span
damned,damn ##ed
anthology,ant ##hol ##og ##y
lancashire,lan ##cas ##hi ##re
brands,brand ##s
batting,batt ##ing
cuban,cub ##an
imagination,imag ##ination
dante,dan ##te
desperately,desper ##ately
goalkeeper,goal ##keeper
groaned,gro ##ane ##d
burton,bur ##ton
gerald,ger ##ald
milton,mil ##ton
circus,circ ##us
copenhagen,cope ##nh ##agen
sophia,soph ##ia
philosopher,philoso ##pher
portraits,portrait ##s
gripped,gri ##pped
larvae,lar ##va ##e
garrett,gar ##rett
scotia,scot ##ia
luther,lut ##her
kurt,kur ##t
aerial,aer ##ial
ferdinand,fer ##din ##and
heated,heat ##ed
transported,transport ##ed
demanding,demand ##ing
startled,start ##led
ally,all ##y
ghana,gh ##ana
stained,sta ##ined
beds,bed ##s
afterward,after ##ward
diary,dia ##ry
richards,richard ##s
1837,183 ##7
conspiracy,cons ##pi ##racy
conscious,cons ##cious
shining,shin ##ing
footsteps,foot ##steps
cyprus,cy ##pr ##us
urged,urg ##ed
loyalty,lo ##yal ##ty
olive,oli ##ve
miracle,mira ##cle
insects,ins ##ect ##s
graves,grav ##es
hydrogen,hydro ##gen
katie,kat ##ie
poets,po ##ets
prevention,prevent ##ion
witnessed,witness ##ed
randy,rand ##y
monroe,mon ##roe
elderly,elder ##ly
investigations,investigation ##s
alec,ale ##c
granite,gran ##ite
mineral,miner ##al
aboriginal,ab ##origin ##al
carlo,carl ##o
stark,star ##k
rhode,rho ##de
skirt,ski ##rt
bombs,bomb ##s
imposed,imp ##osed
limestone,lime ##stone
nominee,nom ##ine ##e
memphis,mem ##phi ##s
amusement,am ##use ##ment
frankfurt,frank ##fu ##rt
corn,cor ##n
referendum,refer ##end ##um
slowed,slow ##ed
firms,firm ##s
unconscious,unc ##ons ##cious
incredible,incredi ##ble
sue,su ##e
idaho,id ##aho
destroyer,destroy ##er
mortal,mort ##al
tucker,tu ##cker
kingston,king ##ston
carson,cars ##on
whitney,whit ##ney
geneva,gene ##va
plateau,plate ##au
freestyle,frees ##ty ##le
rovers,ro ##vers
hiv,hi ##v
tristan,tri ##stan
prospect,pros ##pect
diploma,dip ##lo ##ma
lied,lie ##d
feast,feas ##t
iata,ia ##ta
morocco,mor ##occ ##o
pounding,po ##und ##ing
treasury,tre ##as ##ury
lithuania,lith ##uan ##ia
1841,184 ##1
dish,dis ##h
1812,181 ##2
geological,geo ##logical
marched,march ##ed
brien,bri ##en
advances,advance ##s
nicole,nico ##le
belle,bell ##e
settling,sett ##ling
directing,direct ##ing
bassist,bas ##si ##st
stunned,stun ##ned
fraud,fra ##ud
torpedo,tor ##pe ##do
wisdom,wis ##dom
surveillance,surve ##illa ##nc ##e
ruined,rui ##ned
lawsuit,laws ##uit
healthcare,health ##care
halls,hall ##s
lasting,last ##ing
gorgeous,gor ##geo ##us
vicinity,vic ##init ##y
tactics,tactic ##s
pakistani,pak ##ista ##ni
willie,will ##ie
burke,bur ##ke
heath,heat ##h
powder,pow ##der
elliott,ell ##iot ##t
brigadier,bri ##gad ##ier
jackie,jack ##ie
tate,tat ##e
varieties,vari ##et ##ies
cigarette,ci ##gar ##ette
specimens,spec ##imen ##s
exploded,explode ##d
finalist,final ##ist
cia,ci ##a
murders,mur ##ders
wilderness,wild ##ern ##ess
nicknamed,nickname ##d
manufacture,manufact ##ure
robertson,robert ##son
tampa,tam ##pa
enterprises,enterprise ##s
loudly,loud ##ly
composers,composer ##s
nominations,nom ##inations
1838,183 ##8
malta,mal ##ta
inquiry,inquir ##y
automobile,autom ##obi ##le
viii,vi ##ii
rays,ray ##s
tilted,tilt ##ed
grief,gri ##ef
museums,muse ##ums
furious,fur ##ious
cohen,co ##hen
surrey,sur ##rey
governed,govern ##ed
vanished,vanish ##ed
barnes,barn ##es
morrison,mor ##rison
petition,pet ##ition
janet,jane ##t
satisfaction,satisf ##action
custody,cust ##ody
observatory,observ ##atory
comedian,comedi ##an
pinyin,pin ##yi ##n
novelist,novel ##ist
canterbury,cant ##er ##bur ##y
monks,mon ##ks
embrace,emb ##race
jealous,je ##alo ##us
photograph,photo ##graph
continent,contin ##ent
dorothy,dor ##othy
marina,mari ##na
holden,hold ##en
allegations,alle ##ga ##tions
lance,lan ##ce
storyline,story ##line
majesty,maj ##esty
bradford,brad ##ford
classics,classic ##s
fists,fist ##s
butt,but ##t
1842,184 ##2
1839,183 ##9
gage,ga ##ge
telegraph,tele ##graph
expelled,exp ##elle ##d
casual,cas ##ual
nintendo,nin ##ten ##do
downstairs,downs ##ta ##irs
vacant,vac ##ant
uganda,ug ##anda
pregnancy,preg ##nan ##cy
condemned,cond ##em ##ned
lutheran,lut ##her ##an
decree,decre ##e
deposits,deposit ##s
magnus,magn ##us
glacier,gl ##ac ##ier
offense,off ##ense
edwin,ed ##win
upright,up ##right
geographical,geographic ##al
delicate,deli ##cat ##e
xavier,xa ##vier
nails,nail ##s
windsor,winds ##or
plantation,plant ##ation
equity,equ ##ity
saskatchewan,sas ##kat ##che ##wan
fears,fear ##s
drifted,drift ##ed
vegetation,ve ##get ##ation
revolt,rev ##olt
1843,184 ##3
opposing,oppos ##ing
nato,nat ##o
skating,sk ##ating
1836,183 ##6
secretly,secret ##ly
ruin,rui ##n
flora,flor ##a
anxiety,an ##xi ##ety
bout,bou ##t
taxi,tax ##i
emmy,em ##my
compounds,compound ##s
foundations,foundation ##s
rainfall,rain ##fall
assassination,ass ##assin ##ation
dominican,domin ##ican
deserve,deser ##ve
orlando,or ##land ##o
armenia,arme ##ni ##a
calgary,cal ##gar ##y
valentine,val ##entin ##e
proclaimed,proc ##la ##ime ##d
theodore,theod ##ore
bells,bell ##s
courtyard,court ##yard
thigh,thi ##gh
gonzalez,gon ##za ##le ##z
troop,tro ##op
supporter,support ##er
terrorism,ter ##ror ##ism
openly,open ##ly
presbyterian,pres ##byte ##rian
activists,activ ##ists
carpet,carp ##et
rubbing,rub ##bing
uprising,up ##ris ##ing
cute,cut ##e
conceived,conce ##ived
legally,legal ##ly
millennium,mill ##enn ##ium
cello,cell ##o
rescued,rescue ##d
cardiff,card ##iff
1835,183 ##5
concentrate,concent ##rate
senators,sen ##ators
beard,bear ##d
glowing,glow ##ing
battalions,batt ##ali ##ons
scouts,scout ##s
competitors,compet ##itors
sculptor,sc ##ulp ##tor
arctic,arct ##ic
raja,raj ##a
bicycle,bic ##ycle
glancing,gl ##ancing
lawn,law ##n
gentleman,gent ##lem ##an
strain,stra ##in
deceased,dece ##ased
touchdowns,touch ##down ##s
brady,brad ##y
caleb,cal ##eb
sinking,sink ##ing
echoed,echo ##ed
blessed,bless ##ed
protagonist,prot ##agon ##ist
hayes,hay ##es
endangered,end ##anger ##ed
laying,lay ##ing
zurich,zu ##rich
lovers,love ##rs
kicking,kick ##ing
treasurer,tre ##asure ##r
1832,183 ##2
biblical,bibli ##cal
terrified,ter ##rif ##ied
agrees,agree ##s
imprisonment,imp ##rison ##ment
plymouth,ply ##mo ##uth
tara,tar ##a
trembling,tre ##mb ##ling
antarctic,ant ##arc ##tic
learns,learn ##s
atop,at ##op
lancaster,lan ##caster
hopkins,hop ##kins
lyon,ly ##on
bros,bro ##s
empress,emp ##ress
crowned,crow ##ned
acclaimed,acc ##la ##ime ##d
chuckled,chuck ##led
clara,clar ##a
mild,mil ##d
towel,tow ##el
wishing,wish ##ing
interviewed,interview ##ed
eden,ed ##en
helena,hel ##ena
indie,ind ##ie
beck,bec ##k
batteries,batter ##ies
filipino,fil ##ip ##ino
parted,part ##ed
idol,id ##ol
albany,alb ##any
notre,not ##re
belgrade,bel ##grade
highways,high ##ways
lauren,laur ##en
possess,poss ##ess
alexandria,alexa ##nd ##ria
reunion,re ##uni ##on
ludwig,lud ##wig
wagner,wag ##ner
intimate,int ##imate
pockets,pocket ##s
slovenia,slo ##ven ##ia
hugged,hug ##ged
brighton,bright ##on
merchants,merchant ##s
cruel,cru ##el
stole,stol ##e
trek,tre ##k
slopes,slope ##s
repairs,repair ##s
politically,polit ##ically
promotional,promotion ##al
boeing,bo ##ein ##g
isabella,isa ##bell ##a
bacteria,bac ##ter ##ia
belfast,bel ##fast
ussr,us ##sr
lithuanian,lith ##uan ##ian
ribs,rib ##s
martinez,martin ##ez
embarrassed,embarrass ##ed
nationals,national ##s
premises,premise ##s
jace,jac ##e
sleeve,sle ##eve
evident,evi ##den ##t
frances,france ##s
flooded,flood ##ed
frightened,fri ##ght ##ened
wickets,wicket ##s
infected,inf ##ected
arose,ar ##ose
ecuador,ec ##ua ##do ##r
oblast,obl ##ast
vale,val ##e
bach,bac ##h
rankings,ranking ##s
cornwall,cor ##nw ##all
accordance,accord ##ance
salem,sale ##m
toes,to ##es
propaganda,propag ##anda
iceland,ice ##land
bombardment,bomb ##ard ##ment
wives,wi ##ves
concerto,conce ##rt ##o
macdonald,mac ##don ##ald
albania,alb ##ania
daisy,dai ##sy
sudan,sud ##an
angela,angel ##a
mistress,mist ##ress
sunk,sun ##k
finest,fine ##st
hostile,host ##ile
boxer,box ##er
ballot,ball ##ot
supervision,supervis ##ion
soprano,so ##pr ##ano
wicked,wi ##ck ##ed
sunset,sun ##set
regiments,reg ##iment ##s
incidents,incident ##s
dishes,dis ##hes
freshman,fresh ##man
jill,ji ##ll
tackles,tackle ##s
baroque,bar ##oq ##ue
backs,back ##s
destiny,dest ##iny
feminist,fem ##ini ##st
strongest,strong ##est
halifax,hal ##if ##ax
allmusic,all ##music
mighty,might ##y
alexandra,alexa ##nd ##ra
viola,viol ##a
manuscripts,manus ##cripts
dancers,dance ##rs
monuments,mon ##ument ##s
blades,blade ##s
barracks,bar ##rack ##s
springfield,spring ##field
maiden,ma ##ide ##n
berry,ber ##ry
airing,air ##ing
wheat,wh ##eat
nobel,no ##bel
blair,bla ##ir
geography,geo ##graphy
eleanor,ele ##ano ##r
afc,af ##c
manitoba,man ##ito ##ba
lineup,line ##up
recreational,recre ##ational
investments,investment ##s
airborne,air ##born ##e
disappointment,disappoint ##ment
edmonton,edm ##onto ##n
renovation,renov ##ation
infant,inf ##ant
bankruptcy,bank ##rupt ##cy
roses,rose ##s
aftermath,after ##math
pavilion,pav ##ili ##on
carpenter,carp ##enter
withdrawal,withdraw ##al
ladder,lad ##der
rochester,roc ##hes ##ter
bombers,bomb ##ers
rao,ra ##o
reverend,rever ##end
stiff,st ##iff
naples,nap ##les
crawford,craw ##ford
tracy,trac ##y
cops,cop ##s
crushed,crush ##ed
teenager,tee ##nag ##er
flagship,flags ##hip
poles,pol ##es
sanchez,san ##che ##z
revived,revive ##d
skilled,skill ##ed
induced,indu ##ced
exchanged,exchange ##d
flee,fle ##e
tragedy,tra ##ged ##y
hanna,hann ##a
salvador,salv ##ador
flown,flow ##n
contestants,contest ##ants
civilization,civil ##ization
rhodes,rho ##des
fletcher,fle ##tc ##her
hector,he ##ctor
knocking,knock ##ing
sensed,sense ##d
mentally,mental ##ly
walt,wal ##t
renovated,renovate ##d
madame,mad ##ame
crews,crew ##s
governmental,government ##al
undertaken,undert ##aken
armored,armor ##ed
copa,cop ##a
caves,cave ##s
perception,per ##ception
froze,fro ##ze
damp,dam ##p
tugged,tu ##gged
wyoming,wy ##omi ##ng
newman,new ##man
nerves,nerv ##es
tunnels,tunnel ##s
dull,du ##ll
meredith,mer ##edit ##h
moss,mos ##s
raiders,raid ##ers
republicans,rep ##ublic ##ans
secular,sec ##ular
superman,super ##man
criticised,critic ##ised
conviction,conv ##ict ##ion
wade,wad ##e
technological,techno ##logical
nationality,national ##ity
sharon,shar ##on
entrepreneur,entr ##ep ##ren ##eu ##r
councillor,council ##lor
blown,blow ##n
swan,sw ##an
cursed,curse ##d
1815,181 ##5
haired,hair ##ed
rivalry,ri ##val ##ry
rapper,rap ##per
speedway,speed ##way
swords,sword ##s
maxwell,max ##well
estonia,est ##oni ##a
potter,pot ##ter
1834,183 ##4
claws,cla ##ws
nadu,nad ##u
roberto,robert ##o
bce,bc ##e
wrestler,wre ##st ##ler
ellie,ell ##ie
staircase,sta ##irc ##ase
noel,no ##el
patricia,pat ##ric ##ia
nacional,nac ##ion ##al
chill,chi ##ll
eternal,et ##erna ##l
prussia,pr ##uss ##ia
fossil,foss ##il
limbs,lim ##bs
ernst,er ##ns ##t
frog,fro ##g
perez,pere ##z
rene,ren ##e
prussian,pr ##ussian
molecules,molecule ##s
regulatory,regulator ##y
sworn,sw ##orn
upward,up ##ward
habitats,habitat ##s
seating,seat ##ing
drank,dra ##nk
researcher,research ##er
modest,modes ##t
mothers,mother ##s
peered,peer ##ed
voluntary,vol ##unt ##ary
homeland,home ##land
acclaim,acc ##la ##im
luxembourg,lux ##em ##bour ##g
alto,alt ##o
carroll,car ##roll
receptor,rece ##ptor
ambulance,amb ##ula ##nc ##e
johnston,john ##ston
catholics,cat ##hol ##ics
depicting,dep ##ict ##ing
jointly,joint ##ly
elephant,ele ##phant
gloria,glo ##ria
remarked,remark ##ed
councils,council ##s
allison,all ##ison
advancing,adv ##ancing
crowded,crowd ##ed
cooperative,cooper ##ative
ankle,an ##kle
mercedes,merc ##ede ##s
surrendered,sur ##render ##ed
pollution,poll ##ution
subway,sub ##way
sculptures,sc ##ulp ##tu ##res
membrane,mem ##bra ##ne
timothy,tim ##othy
fiscal,fis ##cal
heating,heat ##ing
teammate,team ##mate
missiles,miss ##iles
courthouse,court ##house
shoe,sho ##e
forbes,for ##bes
blacks,black ##s
overwhelming,overwhel ##ming
autobiography,autob ##io ##graphy
natalie,nat ##ali ##e
contestant,contest ##ant
countryside,country ##side
babies,bab ##ies
scorer,score ##r
invaded,inv ##aded
hurling,hur ##ling
disorders,dis ##orders
cruiser,cru ##iser
graduates,grad ##uate ##s
freeway,free ##way
deserved,deser ##ved
maid,ma ##id
phillip,phill ##ip
shakes,shake ##s
dove,do ##ve
mann,man ##n
lacked,lack ##ed
accompanying,accompany ##ing
provisional,provision ##al
tubes,tube ##s
juice,ju ##ice
georges,george ##s
krishna,kris ##hn ##a
mick,mic ##k
thriller,thr ##iller
laps,lap ##s
snail,sn ##ail
shannon,sha ##nn ##on
laurence,laur ##ence
seoul,seo ##ul
churchill,church ##ill
savannah,sav ##ann ##ah
testimony,test ##imon ##y
toys,toy ##s
romans,roman ##s
mlb,ml ##b
flowering,flower ##ing
talented,talent ##ed
charleston,charles ##ton
shattered,sha ##tter ##ed
triumph,tri ##ump ##h
ceremonies,cere ##mon ##ies
portsmouth,ports ##mo ##uth
lanes,lane ##s
loser,lose ##r
stretching,stretch ##ing
cologne,col ##og ##ne
realizes,realize ##s
seventy,seven ##ty
cornell,cor ##nell
careers,career ##s
webb,web ##b
americas,america ##s
budapest,bud ##ape ##st
conrad,con ##rad
sterling,ste ##rl ##ing
rector,rect ##or
1831,183 ##1
loans,loan ##s
christine,christ ##ine
volcanic,vol ##can ##ic
slender,sle ##nd ##er
summers,summer ##s
subfamily,sub ##family
danced,dance ##d
rhine,rh ##ine
proceeds,proceed ##s
heinrich,he ##in ##rich
gastropod,gas ##tr ##op ##od
sings,sing ##s
fruits,fruit ##s
yanked,yank ##ed
25th,25 ##th
velvet,vel ##vet
tribune,trib ##une
baldwin,bal ##dw ##in
neighbourhood,neighbour ##hood
donna,don ##na
1814,181 ##4
espn,esp ##n
glare,gl ##are
highland,high ##land
eased,ease ##d
louder,loud ##er
slovakia,slo ##vak ##ia
prairie,pra ##iri ##e
marching,march ##ing
tonnes,ton ##nes
curtain,cur ##tain
greene,green ##e
worthy,worth ##y
detachment,detach ##ment
bury,bur ##y
sherman,sher ##man
reinforced,rein ##forced
seeks,seek ##s
bottles,bottle ##s
contracted,contract ##ed
duchess,du ##che ##ss
outfit,out ##fit
walsh,wal ##sh
mickey,mic ##key
geoffrey,geoff ##rey
archer,arch ##er
dawson,daw ##son
invention,invent ##ion
neal,ne ##al
stance,stan ##ce
dealer,deal ##er
coral,cor ##al
maple,map ##le
polo,pol ##o
1833,183 ##3
watts,wat ##ts
rebounds,reb ##ounds
burma,bur ##ma
woodland,wood ##land
moist,mo ##ist
santos,sant ##os
whispers,whis ##pers
drained,drain ##ed
subspecies,subs ##pec ##ies
ulster,ul ##ster
burnt,burn ##t
correspondence,correspond ##ence
maternal,mate ##rn ##al
gerard,ger ##ard
stealing,steal ##ing
duchy,du ##ch ##y
inaugurated,in ##aug ##ura ##ted
sovereign,so ##ver ##ei ##gn
thames,tha ##mes
confederation,conf ##eder ##ation
yankees,yank ##ees
verses,verse ##s
commercially,commercial ##ly
salon,sal ##on
winnipeg,win ##ni ##peg
interference,interfere ##nc ##e
1820,182 ##0
armoured,arm ##our ##ed
initiatives,initiative ##s
robe,rob ##e
gazed,gaze ##d
distracted,distract ##ed
rulers,rule ##rs
favorable,favor ##able
tended,tend ##ed
diplomat,dip ##lo ##mat
gravel,grav ##el
charitable,char ##itable
calvin,cal ##vin
shepherd,she ##pher ##d
terrace,terra ##ce
pupil,pup ##il
governors,governor ##s
depths,depth ##s
trailed,trail ##ed
crest,cre ##st
hatred,hat ##red
clare,clar ##e
ethiopia,eth ##io ##pi ##a
longtime,long ##time
slapped,sla ##pped
thomson,thom ##son
anticipation,anticip ##ation
morton,mort ##on
agnes,ag ##nes
screenwriter,screen ##writer
straightened,straight ##ened
philippe,philipp ##e
playwright,play ##wr ##ight
haunted,ha ##unte ##d
sutton,su ##tto ##n
branded,brand ##ed
licked,lic ##ked
tipped,tip ##pe ##d
ricky,rick ##y
narrator,narr ##ator
greeted,greet ##ed
supernatural,super ##nat ##ural
lung,lun ##g
refusing,ref ##using
strait,stra ##it
gaelic,gae ##lic
zoe,zo ##e
sabha,sab ##ha
driveway,drive ##way
bates,bat ##es
reluctantly,reluct ##antly
ira,ir ##a
raids,raid ##s
gentlemen,gent ##lem ##en
blowing,blow ##ing
leipzig,le ##ip ##zi ##g
dressing,dre ##ss ##ing
depicts,dep ##ict ##s
nods,nod ##s
yuan,yu ##an
invested,invest ##ed
questioning,question ##ing
blamed,blame ##d
illustrations,illustration ##s
weakness,weak ##ness
rehabilitation,reh ##abil ##itation
rumors,ru ##mor ##s
miners,miner ##s
leicester,le ##ices ##ter
kerry,ker ##ry
ferguson,fer ##gu ##son
premiership,premier ##ship
bengali,ben ##gal ##i
remnants,rem ##nan ##ts
dana,dan ##a
